Date,Kommune,Transit,Residential,Retail,Workplace
2020-05-04,Næstved,-9,10,-12,-31
2020-05-04,Norddjurs,-30,7,-19,-22
2020-05-04,Nordfyns,-32,8,-9,-26
2020-05-04,Nyborg,-12,9,-9,-33
2020-05-04,Odder,-30,11,-19,-32
2020-05-04,Odense,-43,12,-20,-35
2020-05-04,Odsherred,-41,7,-9,-19
2020-05-04,Randers,-26,9,2,-30
2020-05-04,Rebild,-28,10,-14,-31
2020-05-04,Ringkøbing-Skjern,-38,10,-19,-27
2020-05-04,Ringsted,-24,11,-18,-33
2020-05-04,Rødovre,-11,13,-43,-38
2020-05-04,Roskilde,-44,14,-25,-40
2020-05-04,Rudersdal,-29,17,-33,-45
2020-05-04,Samsø,-30,11,-19,-33
2020-05-04,Silkeborg,-24,11,5,-33
2020-05-04,Skanderborg,-37,14,-16,-36
2020-05-04,Skive,-30,9,-11,-30
2020-05-04,Slagelse,-42,10,0,-32
2020-05-04,Solrød,-27,10,-9,-42
2020-05-04,Sønderborg,-12,9,-6,-28
2020-05-04,Sorø,-45,10,-9,-33
2020-05-04,Stevns,-29,10,-9,-29
2020-05-04,Struer,-30,11,-19,-29
2020-05-04,Svendborg,-13,9,-6,-34
2020-05-04,Syddjurs,-40,9,-19,-31
2020-05-04,Tårnby,-83,12,-18,-36
2020-05-04,Thisted,-20,9,-14,-25
2020-05-04,Tønder,-32,7,-9,-26
2020-05-04,Vallensbæk,-24,14,-33,-45
2020-05-04,Varde,-6,9,-9,-28
2020-05-04,Vejen,-32,9,-9,-27
2020-05-04,Vejle,-30,10,-4,-31
2020-05-04,Vesthimmerlands,-20,8,-18,-25
2020-05-04,Viborg,-39,10,-23,-30
2020-05-04,Vordingborg,-20,9,-9,-28
2020-05-05,Aabenraa,-19,8,6,-26
2020-05-05,Aalborg,-37,11,-27,-35
2020-05-05,Aarhus,-35,14,-38,-40
2020-05-05,Ærø,-31,9,-9,-29
2020-05-05,Albertslund,-36,14,-35,-34
2020-05-05,Allerød,-33,14,-35,-45
2020-05-05,Assens,-31,9,-9,-30
2020-05-05,Ballerup,-31,14,-49,-39
2020-05-05,Billund,-83,9,-9,-28
2020-05-05,Bornholm,-7,9,-35,-27
2020-05-05,Brøndby,-36,11,-13,-36
2020-05-05,Brønderslev,-9,8,16,-31
2020-05-05,Dragør,-44,14,-35,-36
2020-05-05,Egedal,-35,15,-35,-41
2020-05-05,Esbjerg,-18,10,-21,-31
2020-05-05,Faaborg-Midtfyn,5,9,-9,-28
2020-05-05,Fanø,-31,9,-9,-29
2020-05-05,Favrskov,-31,10,-20,-32
2020-05-05,Faxe,-19,9,-11,-27
2020-05-05,Fredensborg,-30,12,-35,-36
2020-05-05,Fredericia,-44,9,4,-29
2020-05-05,Frederiksberg,-45,17,-46,-48
2020-05-05,Frederikshavn,-12,8,2,-26
2020-05-05,Frederikssund,-24,10,-35,-31
2020-05-05,Furesø,-31,14,-35,-48
2020-05-05,Gentofte,-31,16,-10,-47
2020-05-05,Gladsaxe,-38,15,-35,-40
2020-05-05,Glostrup,-38,14,-7,-39
2020-05-05,Greve,-23,13,-31,-37
2020-05-05,Gribskov,-22,10,-35,-31
2020-05-05,Guldborgsund,-30,8,6,-25
2020-05-05,Haderslev,-32,8,5,-29
2020-05-05,Halsnæs,-5,9,-35,-27
2020-05-05,Hedensted,-27,9,-20,-24
2020-05-05,Helsingør,-28,11,-31,-32
2020-05-05,Herlev,-32,14,-35,-38
2020-05-05,Herning,-27,10,-19,-31
2020-05-05,Hillerød,-30,13,-27,-37
2020-05-05,Hjørring,-11,8,-16,-27
2020-05-05,Høje-Taastrup,-43,13,-29,-36
2020-05-05,Holbæk,-32,10,5,-31
2020-05-05,Holstebro,-11,9,-16,-29
2020-05-05,Horsens,-18,10,-14,-29
2020-05-05,Hørsholm,-37,14,-35,-44
2020-05-05,Hvidovre,-33,14,-11,-39
2020-05-05,Ikast-Brande,-33,11,-20,-30
2020-05-05,Ishøj,-31,14,-30,-35
2020-05-05,Jammerbugt,-24,8,-16,-26
2020-05-05,Kalundborg,-27,8,-11,-21
2020-05-05,Kerteminde,-31,9,-9,-31
2020-05-05,København,-45,17,-48,-46
2020-05-05,Køge,-28,11,-2,-35
2020-05-05,Kolding,-27,9,-34,-29
2020-05-05,Læsø,-24,9,-16,-29
2020-05-05,Langeland,-31,9,-9,-29
2020-05-05,Lejre,-36,10,-11,-36
2020-05-05,Lemvig,-27,10,-20,-24
2020-05-05,Lolland,-29,7,-11,-18
2020-05-05,Lyngby-Taarbæk,-41,17,-59,-48
2020-05-05,Mariagerfjord,-16,7,-16,-25
2020-05-05,Middelfart,-25,9,-9,-28
2020-05-05,Morsø,-24,9,-16,-25
2020-05-05,Næstved,-17,10,-14,-29
2020-05-05,Norddjurs,-27,6,-20,-22
2020-05-05,Nordfyns,-31,7,-9,-26
2020-05-05,Nyborg,-13,9,-9,-34
2020-05-05,Odder,-27,10,-20,-31
2020-05-05,Odense,-44,11,-18,-34
2020-05-05,Odsherred,-38,8,-11,-18
2020-05-05,Randers,-27,9,0,-31
2020-05-05,Rebild,-24,9,-16,-30
2020-05-05,Ringkøbing-Skjern,-27,8,-20,-26
2020-05-05,Ringsted,-22,11,-21,-34
2020-05-05,Rødovre,-6,12,-44,-42
2020-05-05,Roskilde,-47,14,-31,-40
2020-05-05,Rudersdal,-32,14,-35,-45
2020-05-05,Samsø,-27,10,-20,-32
2020-05-05,Silkeborg,-19,11,0,-31
2020-05-05,Skanderborg,-27,12,-15,-35
2020-05-05,Skive,-4,9,-18,-28
2020-05-05,Slagelse,-38,10,-1,-31
2020-05-05,Solrød,-24,10,-11,-39
2020-05-05,Sønderborg,-18,9,-5,-27
2020-05-05,Sorø,-37,10,-11,-32
2020-05-05,Stevns,-30,10,-11,-30
2020-05-05,Struer,-27,10,-20,-27
2020-05-05,Svendborg,-10,8,-3,-31
2020-05-05,Syddjurs,-12,8,-20,-29
2020-05-05,Tårnby,-80,12,-18,-36
2020-05-05,Thisted,-10,7,-16,-27
2020-05-05,Tønder,-31,8,-9,-27
2020-05-05,Vallensbæk,-35,14,-35,-45
2020-05-05,Varde,-25,8,-9,-28
2020-05-05,Vejen,-21,9,-9,-27
2020-05-05,Vejle,-31,10,-4,-29
2020-05-05,Vesthimmerlands,-24,8,-16,-23
2020-05-05,Viborg,-36,10,-27,-30
2020-05-05,Vordingborg,-30,10,-11,-28
2020-05-06,Aabenraa,-21,8,10,-24
2020-05-06,Aalborg,-40,12,-29,-34
2020-05-06,Aarhus,-38,14,-39,-39
2020-05-06,Ærø,-29,9,-10,-29
2020-05-06,Albertslund,-32,14,-35,-35
2020-05-06,Allerød,-31,14,-35,-42
2020-05-06,Assens,-29,9,-10,-30
2020-05-06,Ballerup,-34,12,-50,-37
2020-05-06,Billund,-75,9,-10,-26
2020-05-06,Bornholm,-5,8,-35,-27
2020-05-06,Brøndby,-34,12,-13,-34
2020-05-06,Brønderslev,-13,9,-16,-30
2020-05-06,Dragør,-44,14,-35,-37
2020-05-06,Egedal,-36,15,-35,-39
2020-05-06,Esbjerg,-22,10,-20,-30
2020-05-06,Faaborg-Midtfyn,7,9,-10,-28
2020-05-06,Fanø,-29,9,-10,-29
2020-05-06,Favrskov,-34,12,-21,-34
2020-05-06,Faxe,-13,9,-8,-28
2020-05-06,Fredensborg,-27,12,-35,-38
2020-05-06,Fredericia,-45,9,-5,-29
2020-05-06,Frederiksberg,-41,16,-49,-48
2020-05-06,Frederikshavn,-22,8,-1,-24
2020-05-06,Frederikssund,-27,11,-24,-32
2020-05-06,Furesø,-29,14,3,-44
2020-05-06,Gentofte,-32,17,-15,-47
2020-05-06,Gladsaxe,-40,15,-35,-41
2020-05-06,Glostrup,-41,14,-9,-40
2020-05-06,Greve,-13,12,-25,-35
2020-05-06,Gribskov,-19,10,-35,-28
2020-05-06,Guldborgsund,-31,8,9,-27
2020-05-06,Haderslev,-24,8,9,-28
2020-05-06,Halsnæs,-17,10,-35,-26
2020-05-06,Hedensted,-29,9,-21,-24
2020-05-06,Helsingør,-30,11,-30,-35
2020-05-06,Herlev,-36,14,-35,-39
2020-05-06,Herning,-28,11,-21,-32
2020-05-06,Hillerød,-33,13,-25,-35
2020-05-06,Hjørring,-26,8,-16,-26
2020-05-06,Høje-Taastrup,-41,12,-27,-36
2020-05-06,Holbæk,-35,10,9,-30
2020-05-06,Holstebro,-10,10,-13,-28
2020-05-06,Horsens,-24,10,-19,-28
2020-05-06,Hørsholm,-33,14,-35,-46
2020-05-06,Hvidovre,-34,13,-3,-38
2020-05-06,Ikast-Brande,-34,11,-21,-28
2020-05-06,Ishøj,-37,14,-32,-36
2020-05-06,Jammerbugt,-27,9,-16,-27
2020-05-06,Kalundborg,-15,8,-8,-19
2020-05-06,Kerteminde,-29,9,-10,-31
2020-05-06,København,-46,16,-50,-45
2020-05-06,Køge,-24,12,3,-35
2020-05-06,Kolding,-28,10,-29,-30
2020-05-06,Læsø,-27,10,-16,-29
2020-05-06,Langeland,-29,9,-10,-29
2020-05-06,Lejre,-32,10,-8,-38
2020-05-06,Lemvig,-29,11,-21,-28
2020-05-06,Lolland,-21,6,-8,-21
